motion,brightness,created_at
0,783,2024-10-28T09:10:39.399097Z
1,603,2024-10-28T09:10:39.399097Z
0,143,2024-10-28T09:10:39.399097Z
1,395,2024-10-28T09:10:39.399097Z
0,76,2024-10-28T09:10:39.399097Z
1,849,2024-10-28T09:10:39.399097Z
1,867,2024-10-28T09:10:39.399097Z
1,50,2024-10-28T09:10:39.399097Z
1,162,2024-10-28T09:10:39.399097Z
0,937,2024-10-28T09:10:39.399097Z
0,690,2024-10-28T09:10:39.399097Z
1,126,2024-10-28T09:10:39.399097Z
1,59,2024-10-28T09:10:39.399097Z
1,635,2024-10-28T09:10:39.399097Z
0,24,2024-10-28T09:10:39.399097Z
1,781,2024-10-28T09:10:39.399097Z
1,519,2024-10-28T09:10:39.399097Z
0,264,2024-10-28T09:10:39.399097Z
0,357,2024-10-28T09:10:39.399097Z
0,596,2024-10-28T09:10:39.399097Z
0,0,2024-11-05T17:07:51.775149Z
0,0,2024-11-05T17:07:52.846768Z
0,0,2024-11-05T17:07:53.873093Z
0,0,2024-11-05T17:07:54.897821Z
0,0,2024-11-05T17:07:55.920968Z
0,0,2024-11-05T17:07:56.943258Z
0,0,2024-11-05T17:07:57.967642Z
0,0,2024-11-05T17:07:58.994349Z
0,0,2024-11-05T17:08:00.014346Z
0,0,2024-11-05T17:08:01.038078Z
0,0,2024-11-05T17:08:02.059116Z
0,0,2024-11-05T17:08:03.079681Z
0,0,2024-11-05T17:08:04.103464Z
0,0,2024-11-05T17:08:05.125804Z
0,0,2024-11-05T17:08:06.146062Z
0,0,2024-11-05T17:08:07.171159Z
0,0,2024-11-05T17:08:08.19724Z
0,0,2024-11-05T17:08:09.219886Z
0,0,2024-11-05T17:08:10.239399Z
0,0,2024-11-05T17:08:11.26094Z
0,0,2024-11-05T17:08:12.28858Z
0,0,2024-11-05T17:08:13.308414Z
0,0,2024-11-05T17:08:14.332422Z
0,0,2024-11-05T17:08:15.35223Z
0,0,2024-11-05T17:08:16.373461Z
0,0,2024-11-05T17:08:17.39583Z
0,0,2024-11-05T17:08:18.420182Z
0,0,2024-11-05T17:08:19.444796Z
0,0,2024-11-05T17:08:20.468562Z
0,0,2024-11-05T17:08:21.491444Z
0,0,2024-11-05T17:08:22.511411Z
0,0,2024-11-05T17:08:23.527951Z
0,0,2024-11-05T17:08:24.550594Z
0,0,2024-11-05T17:08:25.57071Z
0,0,2024-11-05T17:08:26.766046Z
0,0,2024-11-05T17:08:27.785762Z
0,0,2024-11-05T17:08:28.810154Z
0,0,2024-11-05T17:08:29.830938Z
